year,Visited placecs,Arrivals,Revenue (in Rs.)
2020,Colombo National Museum,11762,11813400
2020,Natural History Museum,1053,818000
2020,Dutch Museum *,0,0
2020,Independence Memorial Museum,478,137400
2020,Hambantota National Museum,22,10800
2020,Rathnapura National Museum *,1,500
2020,Galle National Museum,1301,385050
2020,Galle Maritime Museum,1092,319800
2020,Anuradhapura Folk Museum,25,7500
2020,Kandy National Museum,914,542000
2020,Polonnaruwa Museum,83,81500
2020,Abhayagiriya,366,1521838
2020,Jethawanaya,16721,72829772
2020,Sigiriya museum and sigiriya rock,103651,537489876
2020,Polonnaruwa gal viharaya,47517,209931802
2020,Kandy,45,8196
2020,Galle,3683,2897957
2020,Ramba viharaya,9,6631
2020,Apegama,895,628904
2020,Kataragama,805,524524
2020,Yapahuwa,15,13660
2020,Buduruwagala,0,0
2020,Dambulla,8705,3124430
2020,Ritigala,0,0
2020,Ibbankatuwa,2119,1035992
2020,Namal Uyana,192,69010
2020,Lahugala,543,542355
2020,Dehiwala,5058,134293610
2020,Pinnawala ,48326,102508650
2020,Pinnawala  Zoo,704,481950
2020,Ridiyagama safari park,401,1066400
2020,Peradeniya,87554,170510400
2020,Hakgala,5562,10790200
2020,Gampaha,86,168000
2020,Mirijjawila,60,115400
2020,Avissawella,121,237000
2020,Ganewattha,2,4000
2020,Yala,67137,179408732
2020,Horton Plains,20382,51945787
2020,Udawalawa,53507,144079040
2020,Wasgomuwa,626,269628
2020,Minneriya,1520,4113122
2020,Bundala,2258,4271151
2020,Horagolla,5,9050
2020,Kaudulla,118,166238
2020,Lunugamwehera,189,349236
2020,Galoya,892,487966
2020,Kumana,570,1081675
2020,Angmmedilla,1,0
2020,Galways Land,0,0
2020,Wilpattu,7365,19869736
2020,Maduruoya,161,303375
2020,Lahu ala,0,0
2020,Pigeon Island,1181,2 119 130
2020,Hikkadauwa,2474,75433
2020,Eth Athurusevena,15906,7818750
2020,Kalawewa,0,0
2020,BarReef-Kal iti a,2347,3 349 492
2020,Mirissa,43234,75363078
2020,Makandawa Conservation Forest,0,0
2020,Kottawa Conservation Forest,66,45500
2020,Kanneliya Conservation Forest,868,586600
2020,hurulu Eco park,45268,53483400
2020,Sinharaja Connservation Forest,5673,3937500
2020,Udawattakele Conservation Forest/Kandy,3798,3014000
2020,Knuckles Conservation Forest,491,326508
2020,Kandeela Forest/Nuwaraeliya,0,0
2020,Kurulukele,0,0
2020,Rathna Ella,1,300
2020,Colombo National Museum,49736,49800000
2019,Natural History Museum,2509,2144050
2019,Dutch Museum *,0,0
2019,Independence Memorial Museum,1298,369900
2019,Hambantota National Museum,58,28800
2019,Rathnapura National Museum *,0,0
2019,Galle National Museum,5038,1429350
2019,Galle Maritime Museum,3247,926400
2019,Anuradhapura Folk Museum,126,37500
2019,Kandy National Museum,2747,1624200
2019,Polonnaruwa Museum,118,112000
2019,Abhayagiriya,1352,5810773.5
2019,Jethawanaya,70397,305492982
2019,Sigiriya museum and sigiriya rock,414575,2138587023
2019,Polonnaruwa gal viharaya,181778,807397086.5
2019,Kandy,176,41687.13
2019,Galle,12661,10217489.46
2019,Ramba viharaya,31,11204
2019,Apegama,1356,855476.05
2019,Kataragama,68,61725
2019,Yapahuwa,4660,3325575.56
2019,Buduruwagala,31263,11046752.87
2019,Dambulla,321,111986
2019,Ritigala,9207,3239342
2019,Ibbankatuwa,1002,338153.99
2019,Namal Uyana,1753,1529350.45
2019,Lahugala,254,86868
2019,Dehiwala,23667,35609400
2019,Pinnawala ,198399,436803000
2019,Pinnawala  Zoo,3345,2188250
2019,Ridiyagama safari park,954,2343700
2019,Peradeniya,309909,501765150
2019,Hakgala,21207,34096150
2019,Gampaha,305,481150
2019,Mirijjawila,261,411550
2019,Avissawella,203,333250
2019,Ganewattha,3,5000
2019,Yala,206843,524809679.3
2019,Horton Plains,80928,214817851
2019,Udawalawa,175251,458567675.6
2019,Wasgomuwa,2008,3561750.71
2019,Minneriya,62961,146515202.6
2019,Bundala,8555,15311036.55
2019,Horagolla,11,19810
2019,Kaudulla,76805,134949213.6
2019,Lunugamwehera,660,1147405
2019,Galoya,3088,1685290
2019,Kumana,6567,11471885
2019,Angmmedilla,5,8650
2019,Galways Land,112,196200
2019,Wilpattu,24194,63543891.8
2019,Maduruoya,558,983817.17
2019,Lahu ala,27,48650
2019,Pigeon Island,13297,22885795
2019,Hikkadauwa,2645,74970
2019,Eth Athurusevena,86835,42500750
2019,Kalawewa,58,97591.9
2019,BarReef-Kal iti a,4068,5728612
2019,Mirissa,101328,178825388.1
2019,Makandawa Conservation Forest,814,495695.2
2019,Kottawa Conservation Forest,168,95410
2019,Kanneliya Conservation Forest,1985,1153225
2019,hurulu Eco park,82724,107535870.6
2019,Sinharaja Connservation Forest,13877,7580938
2019,Udawattakele Conservation Forest/Kandy,12969,6578314
2019,Knuckles Conservation Forest,1964,"1,039,342,25"
2019,Kandeela Forest/Nuwaraeliya,0,0
2019,Kurulukele,0,0
2019,Rathna Ella,0,0
