Year,Country,Arrivals,Pleasure/Vacation,Visiting_relations,Business,MICE,Sports,Health/Aurweda,Education,Religious,officials,Other_purpose,male,female,Age(3-19),Age(20-29),Age(30-39),Age(40-49),Age(50-59),Age(60 &above),Id
2019,North America,119681,77315,37432,2563,927,904,183,312,24,15,6,60537,59144,15156,12410,19051,17543,19401,36100,NU2398876
2019,Canada,48729,22280,25581,410,156,151,49,84,12,6,0,24573,24156,7192,4667,6677,7015,8959,14219,
2019,Mexico,2120,1939,54,61,33,9,3,19,0,0,2,1038,1082,155,369,538,344,312,402,
2019,United States,68832,53096,11 797,2092,738,744,131,209,12,9,4,34924,33908,7809,7374,11836,10204,10130,21479,
2019,Caribbean & Central America,938,776,82,42,25,8,1,4,0,0,0,541,397,51,183,267,176,132,129,
2019,Costa Rica,143,125,8,7,1,1,0,1,0,0,0,78,65,8,26,41,24,22,22,
2019,Jamaica,58,45,6,2,5,0,0,0,0,0,0,27,31,3,13,18,14,7,3,
2019,Others,737,606,68,33,19,7,1,3,0,0,0,436,301,40,144,208,138,103,104,
2019,South America,6804,6240,252,163,62,36,22,29,0,0,0,3125,3679,336,1318,2310,898,716,1226,
2019,Argentina,1403,1324,41,9,12,7,4,6,0,0,0,47,229,442,173,350,162,173,350,
2019,Brazil,2964,2698,98,107,21,16,14,10,0,0,0,1382,1582,173,458,942,423,344,624,
2019,Chile,938,880,33,10,4,6,1,4,0,0,0,460,478,45,223,388,97,63,122,
2019,Colombia,713,635,38,19,16,0,1,4,0,0,0,263,450,33,235,257,86,48,54,
2019,Others,786,703,42,18,9,7,2,5,0,0,0,353,433,38,173,281,130,88,76,
2019,North Africa,2780,2501,149,44,38,29,10,8,0,1,0,1328,1452,321,784,981,348,197,149,
2019,Morocco,1031,920,61,18,11,8,7,6,0,0,0,450,581,73,400,351,103,44,60,
2019,Sudan,584,508,37,16,11,7,3,2,0,0,0,343,241,99,97,209,110,49,20,
2019,Others,1165,1073,51,10,16,14,0,0,0,1,0,532,633,149,287,421,135,104,69,
2019,Sub -Saharan Africa,12314,10471,729,426,285,308,20,58,3,12,2,6092,6222,1347,2114,2968,1990,1831,2064,
2019,Kenya,1559,1135,145,50,42,175,1,7,0,3,1,778,781,313,257,351,237,187,214,
2019,Mauritius,739,593,85,34,23,0,4,0,0,0,0,347,392,58,102,156,114,98,211,
2019,Nigeria,172,44,54,29,32,1,1,9,0,2,0,131,41,5,23,61,43,25,15,
2019,South Africa,7132,6419,296,240,96,43,11,24,2,1,0,3365,3767,662,1225,1543,1129,1192,1381,
2019,Others,2712,2280,149,73,92,89,3,18,1,6,1,1404,1308,309,507,857,467,329,243,
2019,North East Asia,217477,196827,5864,9563,2895,445,562,1244,52,6,19,98165,119312,14928,34095,51148,39594,38233,39479,
2019,China,167863,156169,3408,5101,1940,191,25,990,34,1,4,72336,95527,12475,27945,41496,28988,28664,28295,
2019,Japan,30079,24140,1469,3102,555,100,524,173,11,0,5,15722,14357,1455,3940,6303,6783,4955,6643,
2019,South Korea,12195,9971,734,1047,287,74,12,51,7,3,9,6852,5343,612,1273,2045,2433,3019,2813,
2019,Taiwan,7127,6412,242,303,88,51,1,27,0,2,1,3152,3975,353,890,1252,1357,1563,1712,
